TestFilePath,ProductionFilePath,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Wait And See,Eager Test,Lazy Test,Duplicate Assert,Unknown Test
/home/nathan/Documents/School/RIT/Year 4/Semester 1/Software Testing/activities/swen352/Activity5/CoffeeMaker_JUnit/unittests/edu/ncsu/csc326/coffeemaker/InventoryTest.java,/home/nathan/Documents/School/RIT/Year 4/Semester 1/Software Testing/activities/swen352/Activity5/CoffeeMaker_JUnit/src/edu/ncsu/csc326/coffeemaker/Inventory.java,false,true,false,false,false,true,true,false,false,true,true,false,false,true,true,false,false
/home/nathan/Documents/School/RIT/Year 4/Semester 1/Software Testing/activities/swen352/Activity5/CoffeeMaker_JUnit/unittests/edu/ncsu/csc326/coffeemaker/RecipeTest.java,/home/nathan/Documents/School/RIT/Year 4/Semester 1/Software Testing/activities/swen352/Activity5/CoffeeMaker_JUnit/src/edu/ncsu/csc326/coffeemaker/Recipe.java,true,false,false,false,false,true,true,false,false,true,true,false,false,true,true,false,false
/home/nathan/Documents/School/RIT/Year 4/Semester 1/Software Testing/activities/swen352/Activity5/CoffeeMaker_JUnit/unittests/edu/ncsu/csc326/coffeemaker/RecipeBookTest.java,/home/nathan/Documents/School/RIT/Year 4/Semester 1/Software Testing/activities/swen352/Activity5/CoffeeMaker_JUnit/src/edu/ncsu/csc326/coffeemaker/RecipeBook.java,false,false,false,false,false,false,true,false,true,false,false,false,false,true,true,false,false
